,Genre,,,Awards,Awards - Split 1 ,Awards - Split 2,Awards - Split 3,Total Awards,Metascore,imdbVotes
224,Comedy, Romance,,Won 4 Oscars. Another 26 wins & 8 nominations.,4,26,8,38,N/A,"208,523"
225,Biography, Crime, Drama,Nominated for 2 Oscars. Another 13 wins & 41 nominations.,2,13,41,56,76,"592,039"
226,Drama, Sci-Fi, Thriller,11 wins & 15 nominations.,11,15,,26,88,"622,498"
227,Animation, Adventure, Comedy,Won 1 Oscar. Another 13 wins & 39 nominations.,1,13,39,53,78,"639,101"
228,Comedy, Crime, Musical,5 wins & 3 nominations.,5,3,,8,N/A,"39,103"
229,Action, Mystery, Thriller,Won 3 Oscars. Another 26 wins & 39 nominations.,3,26,39,68,85,"527,907"
230,Action, Sci-Fi,,6 wins & 6 nominations.,8,6,,14,83,"646,546"
231,Drama, Fantasy,,Won 2 Oscars. Another 16 wins & 8 nominations.,2,16,8,26,N/A,"84,392"
232,Adventure, Family, Fantasy,Won 2 Oscars. Another 7 wins & 14 nominations.,2,7,14,23,100,"311,697"
233,Adventure, Drama, History,Won 4 Oscars. Another 13 wins & 13 nominations.,4,13,13,30,N/A,"110,576"
234,Comedy, Fantasy, Romance,Won 1 BAFTA Film Award. Another 5 wins & 10 nominations.,1,5,10,16,72,"474,776"
235,Crime, Drama,,8 wins & 13 nominations.,8,13,,21,N/A,"112,951"
236,Mystery, Sci-Fi, Thriller,Nominated for 2 Oscars. Another 9 wins & 18 nominations.,2,9,18,29,74,"492,644"
237,Adventure, Drama, Thriller,Won 3 Oscars. Another 10 wins & 17 nominations.,3,10,17,30,86,"445,407"
238,Crime, Drama, Mystery,23 wins & 21 nominations.,23,21,,44,75,"98,381"
239,Drama, Romance, War,Won 7 Oscars. Another 13 wins & 2 nominations.,7,13,2,22,N/A,"43,479"
240,Action, Crime, Drama,10 wins & 33 nominations.,10,33,,43,89,"54,166"
241,Drama,,,Won 1 Oscar. Another 79 wins & 116 nominations.,1,79,116,196,62,"344,326"
242,Animation, Family, Fantasy,Won 2 Oscars. Another 24 wins & 22 nominations.,2,24,22,48,95,"336,430"
243,Biography, Crime, Drama,Won 1 Oscar. Another 13 wins & 19 nominations.,1,13,19,33,N/A,"194,970"
244,Drama, War,,Nominated for 3 Oscars. Another 9 wins & 5 nominations.,3,9,5,17,95,"41,118"
245,Drama, Romance,,Nominated for 1 BAFTA Film Award. Another 44 wins & 42 nominations.,1,44,42,87,85,"84,121"
246,Action, Adventure, Fantasy,Nominated for 5 Oscars. Another 36 wins & 96 nominations.,5,36,96,137,63,"869,710"
247,Drama, Horror, Thriller,Won 1 Oscar. Another 1 win & 11 nominations.,1,1,11,13,N/A,"37,689"
248,Drama,,,Nominated for 1 Golden Globe. Another 16 wins & 9 nominations.,1,16,9,26,N/A,"55,529"
249,Crime, Drama, Mystery,2 wins & 1 nomination.,2,1,,3,N/A,"40,298"
250,Comedy, Drama, Fantasy,2 wins & 12 nominations.,2,12,,14,N/A,"104,636"
